Accession,total_reads,t7_reads,t7_normalized_reads,ecoli_reads,ecoli_normalized_reads,ecoli_coverage,kpneumo_reads,kpneumo_normalized_reads,kpneumo_coverage,Human,Bacteria,Virus,Parasite,Fungus,Unclassified,Controls
IDBD-D100801,22085282,6070296,2748570.744987544,0,0.0,0.0,0,0.0,0.0,20648,133431,3989829,422,3107,1646187,16291658
IDBD-D100810,4801015,4282,8918.947347592124,0,0.0,0.0,0,0.0,0.0,1904091,1006677,5077,13240,10369,1858250,3311
IDBD-D100803,5422893,8924,16456.160945827254,0,0.0,0.0,0,0.0,0.0,101041,1950780,9527,5480,12165,3336977,6923
IDBD-D100804,5214332,711,1363.549539998604,0,0.0,0.0,0,0.0,0.0,68075,2110742,7044,4133,6612,3017176,550
IDBD-D100805,5837628,869,1488.6183223734024,0,0.0,0.0,0,0.0,0.0,127337,2159552,9001,5038,6898,3529142,660
IDBD-D100806,6737010,98,145.46512473634445,0,0.0,0.0,0,0.0,0.0,570050,2269417,10379,8339,6889,3871860,76
IDBD-D100807,6131945,117,190.8040597233015,0,0.0,0.0,0,0.0,0.0,63777,2232082,9237,4938,5386,3816428,97
IDBD-D100808,6078417,9,14.80648662307966,0,0.0,0.0,0,0.0,0.0,122140,2392553,8473,5465,8881,3540897,8
IDBD-D100809,7981977,4,5.011289809529644,0,0.0,0.0,0,0.0,0.0,180480,2854131,11413,13799,15907,4906239,8
controlBlk,4976509,594694,1195002.3600881663,553,1111.2207372678317,0.0,160,321.5105207284866,0.115983,717910,2288348,123222,12481,47906,1336265,450377
